form_idx,mode,eigval
0,150,59.95
0,151,60.29
0,152,60.59
0,153,60.94
0,154,61.44
0,155,61.60
0,156,61.85
0,157,61.95
0,158,62.56
0,159,62.76
0,160,63.01
0,161,63.32
0,162,63.57
0,163,64.06
0,164,64.34
0,165,64.62
0,166,64.89
0,167,65.16
0,168,65.61
0,169,66.01
0,170,66.19
0,171,66.70
0,172,66.82
0,173,67.27
0,174,67.48
0,175,67.77
0,176,67.89
0,177,68.11
0,178,68.42
0,179,68.86
0,180,69.08
0,181,69.17
0,182,69.73
0,183,69.92
0,184,70.28
0,185,70.46
0,186,70.60
0,187,70.83
0,188,71.19
0,189,71.48
0,190,72.04
0,191,72.33
0,192,72.53
0,193,72.65
0,194,72.87
0,195,73.25
0,196,73.53
0,197,74.20
0,198,74.32
0,199,74.64
0,200,74.70
0,201,75.01
0,202,75.32
0,203,75.62
0,204,75.87
0,205,76.19
0,206,76.44
0,207,76.51
0,208,76.84
0,209,77.20
0,210,77.49
0,211,77.81
0,212,77.99
0,213,78.50
0,214,78.67
0,215,78.90
0,216,79.21
0,217,79.44
0,218,79.76
0,219,79.78
0,220,80.04
0,221,80.88
0,222,81.06
0,223,81.40
0,224,81.50
0,225,81.60
0,226,81.97
0,227,82.16
0,228,82.82
0,229,82.96
0,230,83.05
0,231,83.13
0,232,83.74
0,233,84.01
0,234,84.38
0,235,84.54
0,236,84.88
0,237,85.09
0,238,85.24
0,239,85.46
0,240,85.85
0,241,86.27
0,242,86.67
0,243,86.83
0,244,86.98
0,245,87.36
0,246,87.76
0,247,87.96
0,248,88.04
0,249,88.39
0,250,88.53
0,251,89.16
0,252,89.42
0,253,89.67
0,254,90.02
0,255,90.16
0,256,90.47
0,257,90.92
0,258,91.48
0,259,91.67
0,260,91.92
0,261,92.06
0,262,92.16
0,263,92.63
0,264,92.96
0,265,93.12
0,266,93.36
0,267,93.87
0,268,94.23
0,269,94.49
0,270,94.70
0,271,94.88
0,272,95.25
0,273,95.51
0,274,95.79
0,275,96.22
0,276,96.64
0,277,96.89
0,278,97.22
0,279,97.34
0,280,97.50
0,281,97.60
0,282,97.94
0,283,98.13
0,284,98.34
0,285,98.75
0,286,99.24
0,287,99.33
0,288,99.78
0,289,100.05
0,290,100.20
0,291,100.75
0,292,101.10
0,293,101.36
0,294,101.56
0,295,101.92
0,296,102.11
0,297,102.22
0,298,102.41
0,299,102.58
0,300,102.98
0,301,103.34
0,302,103.62
0,303,103.85
0,304,104.06
0,305,104.68
0,306,105.03
0,307,105.26
0,308,105.42
0,309,105.69
0,310,106.02
0,311,106.29
0,312,106.50
0,313,106.60
0,314,106.99
0,315,107.52
0,316,107.80
0,317,107.94
0,318,108.31
0,319,108.77
0,320,109.33
0,321,109.62
0,322,109.85
0,323,110.04
0,324,110.14
0,325,110.35
0,326,110.64
0,327,110.96
0,328,111.43
0,329,112.03
0,330,112.13
0,331,112.42
0,332,112.76
0,333,112.90
0,334,113.10
0,335,113.62
0,336,113.80
0,337,114.27
0,338,114.47
0,339,114.79
0,340,114.86
0,341,115.20
0,342,115.45
0,343,115.56
0,344,116.15
0,345,116.67
0,346,116.81
0,347,117.23
0,348,117.42
0,349,117.79
0,350,118.02
0,351,118.26
0,352,118.56
0,353,118.88
0,354,119.12
0,355,119.21
0,356,119.72
0,357,120.11
0,358,120.46
0,359,120.68
0,360,120.94
0,361,121.11
0,362,121.45
0,363,121.64
0,364,122.04
0,365,122.24
0,366,122.59
0,367,123.25
0,368,123.44
0,369,123.72
0,370,123.89
0,371,124.26
0,372,124.37
0,373,124.85
0,374,124.95
0,375,125.59
0,376,125.87
0,377,126.13
0,378,126.48
0,379,126.78
0,380,127.20
0,381,127.89
0,382,128.07
0,383,128.12
0,384,128.40
0,385,128.71
0,386,129.02
0,387,129.49
0,388,129.58
0,389,130.38
0,390,130.45
0,391,130.63
0,392,131.11
0,393,131.43
0,394,131.67
0,395,131.86
0,396,132.07
0,397,132.21
0,398,132.70
0,399,132.87
0,400,133.33
0,401,133.44
0,402,133.74
0,403,134.35
0,404,134.53
0,405,134.68
0,406,134.92
0,407,135.09
0,408,135.47
0,409,135.90
0,410,136.23
0,411,136.42
0,412,136.74
0,413,137.22
0,414,137.63
0,415,138.06
0,416,138.41
0,417,138.59
0,418,139.03
0,419,139.47
