mode,1.0,10.0,20.0,30.0,40.0,50.0,100.0,150.0,200.0,250.0,300.0
38,10.813698,10.441990,10.389437,10.370041,10.360175,10.353803,10.340815,10.336576,10.334102,10.333083,10.332249
39,10.987321,10.465438,10.402176,10.379813,10.368457,10.361544,10.346973,10.342215,10.340246,10.338710,10.337874
40,11.250934,10.921328,10.865385,10.844517,10.833461,10.826323,10.812244,10.807618,10.805199,10.803903,10.802895
41,11.268351,10.927491,10.874408,10.854957,10.844349,10.838169,10.825004,10.820354,10.817925,10.816622,10.816099
42,11.636651,11.291530,11.230425,11.207935,11.195780,11.188642,11.173079,11.168259,11.165503,11.164005,11.162866
43,11.916766,11.440079,11.363095,11.334259,11.319189,11.309831,11.290797,11.284348,11.281015,11.278982,11.277806
44,12.014207,11.643709,11.576910,11.552000,11.538837,11.530325,11.513862,11.507950,11.504884,11.503196,11.501942
45,12.046752,11.687465,11.625299,11.601846,11.589395,11.581675,11.565858,11.560770,11.557655,11.556398,11.555122
46,12.352278,11.964468,11.900508,11.877032,11.864750,11.857207,11.842155,11.837003,11.834535,11.832670,11.831747
47,12.449741,12.042973,11.979017,11.955329,11.942707,11.934954,11.918585,11.913291,11.910305,11.908842,11.907890
48,12.626374,12.354731,12.280500,12.252966,12.238618,12.229647,12.210829,12.204560,12.201307,12.199684,12.198188
49,13.028656,12.765154,12.712688,12.692712,12.682441,12.675708,12.662133,12.657577,12.655176,12.653719,12.652907
50,13.128266,12.982575,12.927793,12.906757,12.895924,12.889013,12.874644,12.869678,12.867065,12.865487,12.864593
51,13.271370,13.047221,12.984160,12.960132,12.947399,12.939518,12.923218,12.917339,12.914684,12.913076,12.911756
52,13.475394,13.336364,13.299333,13.285219,13.277523,13.272781,13.262672,13.259368,13.257582,13.256581,13.255936
53,13.630788,13.548758,13.488945,13.465457,13.453306,13.445661,13.429777,13.424155,13.421410,13.419915,13.418811
54,13.824803,13.592986,13.535327,13.513433,13.501861,13.494479,13.479504,13.474574,13.471781,13.470257,13.469524
55,13.851475,13.716224,13.652793,13.627890,13.614219,13.605741,13.588183,13.582264,13.578980,13.577002,13.575838
56,13.998563,13.796959,13.753019,13.735502,13.725659,13.719610,13.707239,13.702646,13.700408,13.699137,13.698313
57,14.091317,13.858212,13.789822,13.762961,13.748697,13.739857,13.721179,13.715014,13.711603,13.709939,13.708726
58,14.284648,14.081062,14.030775,14.010737,13.999612,13.992778,13.978440,13.973316,13.970805,13.969371,13.968444
59,14.436847,14.210333,14.139117,14.112376,14.098119,14.089490,14.071577,14.065520,14.062165,14.060304,14.059338
60,14.632536,14.227692,14.170687,14.149017,14.137631,14.130409,14.115659,14.110645,14.107998,14.106486,14.105503
61,14.750764,14.644228,14.604037,14.586319,14.576258,14.569650,14.556063,14.550929,14.548580,14.547177,14.546024
62,14.856853,14.691648,14.636094,14.614026,14.601992,14.594947,14.579753,14.574573,14.571839,14.570060,14.569261
63,15.017233,14.776544,14.716674,14.690952,14.676741,14.668026,14.649515,14.643112,14.639589,14.637771,14.636582
64,15.243960,14.851517,14.783919,14.757980,14.743834,14.735300,14.717499,14.711693,14.708465,14.706605,14.705395
65,15.310283,14.854161,14.784290,14.763826,14.753655,14.747992,14.736250,14.732565,14.730395,14.729240,14.728737
66,15.311229,14.967393,14.894103,14.865395,14.850050,14.840503,14.821046,14.814323,14.810640,14.808727,14.807475
67,15.421441,15.087957,15.035042,15.012688,14.999918,14.992108,14.976439,14.971200,14.968431,14.966781,14.965825
