variable,sort_type,modes,chi2
8.00,hist,92,44.60
8.00,hist,93,43.69
8.00,hist,94,42.81
8.00,hist,95,41.96
8.00,hist,96,41.15
8.00,hist,97,40.38
8.00,hist,98,39.64
8.00,hist,99,38.93
8.00,hist,100,38.26
8.00,hist,1787,2551.35
8.50,hist,1,0.00
8.50,hist,2,0.00
8.50,hist,3,0.00
8.50,hist,4,0.00
8.50,hist,5,0.00
8.50,hist,6,0.00
8.50,hist,7,0.00
8.50,hist,8,0.00
8.50,hist,9,0.00
8.50,hist,10,0.00
8.50,hist,11,0.00
8.50,hist,12,0.00
8.50,hist,13,0.00
8.50,hist,14,0.00
8.50,hist,15,0.00
8.50,hist,16,0.00
8.50,hist,17,0.00
8.50,hist,18,0.00
8.50,hist,19,0.00
8.50,hist,20,0.00
8.50,hist,21,0.00
8.50,hist,22,0.00
8.50,hist,23,0.00
8.50,hist,24,0.00
8.50,hist,25,0.00
8.50,hist,26,0.00
8.50,hist,27,0.00
8.50,hist,28,0.00
8.50,hist,29,0.00
8.50,hist,30,0.00
8.50,hist,31,0.03
8.50,hist,32,0.13
8.50,hist,33,0.30
8.50,hist,34,0.53
8.50,hist,35,0.83
8.50,hist,36,1.20
8.50,hist,37,1.63
8.50,hist,38,2.13
8.50,hist,39,2.70
8.50,hist,40,3.33
8.50,hist,41,4.03
8.50,hist,42,4.80
8.50,hist,43,5.63
8.50,hist,44,6.53
8.50,hist,45,7.50
8.50,hist,46,8.53
8.50,hist,47,9.63
8.50,hist,48,10.80
8.50,hist,49,12.03
8.50,hist,50,13.33
8.50,hist,51,14.70
8.50,hist,52,16.13
8.50,hist,53,17.63
8.50,hist,54,19.20
8.50,hist,55,20.83
8.50,hist,56,22.53
8.50,hist,57,24.30
8.50,hist,58,26.13
8.50,hist,59,28.03
8.50,hist,60,30.00
8.50,hist,61,32.03
8.50,hist,62,34.13
8.50,hist,63,34.13
8.50,hist,64,34.13
8.50,hist,65,34.13
8.50,hist,66,34.13
8.50,hist,67,34.13
8.50,hist,68,34.13
8.50,hist,69,34.13
8.50,hist,70,34.13
8.50,hist,71,34.13
8.50,hist,72,34.13
8.50,hist,73,34.13
8.50,hist,74,34.13
8.50,hist,75,34.13
8.50,hist,76,34.13
8.50,hist,77,34.13
8.50,hist,78,34.13
8.50,hist,79,34.13
8.50,hist,80,34.13
8.50,hist,81,34.13
8.50,hist,82,34.13
8.50,hist,83,34.13
8.50,hist,84,34.13
8.50,hist,85,34.13
8.50,hist,86,34.13
8.50,hist,87,34.13
8.50,hist,88,34.13
8.50,hist,89,50.70
8.50,hist,90,49.65
8.50,hist,91,48.63
8.50,hist,92,47.65
8.50,hist,93,46.70
8.50,hist,94,45.79
8.50,hist,95,44.91
8.50,hist,96,44.06
8.50,hist,97,43.25
8.50,hist,98,42.48
8.50,hist,99,41.74
8.50,hist,100,41.03
8.50,hist,1787,3723.35
9.00,hist,1,0.00
9.00,hist,2,0.00
9.00,hist,3,0.00
9.00,hist,4,0.00
9.00,hist,5,0.00
9.00,hist,6,0.00
9.00,hist,7,0.00
9.00,hist,8,0.00
9.00,hist,9,0.00
9.00,hist,10,0.00
9.00,hist,11,0.00
9.00,hist,12,0.00
9.00,hist,13,0.00
9.00,hist,14,0.00
9.00,hist,15,0.00
9.00,hist,16,0.00
9.00,hist,17,0.00
9.00,hist,18,0.00
9.00,hist,19,0.00
9.00,hist,20,0.00
9.00,hist,21,0.00
9.00,hist,22,0.00
9.00,hist,23,0.00
9.00,hist,24,0.00
9.00,hist,25,0.00
9.00,hist,26,0.00
9.00,hist,27,0.00
9.00,hist,28,0.00
9.00,hist,29,0.00
9.00,hist,30,0.00
9.00,hist,31,0.03
9.00,hist,32,0.13
9.00,hist,33,0.30
9.00,hist,34,0.53
9.00,hist,35,0.83
9.00,hist,36,1.20
9.00,hist,37,1.63
9.00,hist,38,2.13
9.00,hist,39,2.70
9.00,hist,40,3.33
9.00,hist,41,4.03
9.00,hist,42,4.80
9.00,hist,43,5.63
9.00,hist,44,6.53
9.00,hist,45,7.50
9.00,hist,46,8.53
9.00,hist,47,9.63
9.00,hist,48,10.80
9.00,hist,49,12.03
9.00,hist,50,13.33
9.00,hist,51,14.70
9.00,hist,52,16.13
9.00,hist,53,17.63
9.00,hist,54,19.20
9.00,hist,55,20.83
9.00,hist,56,22.53
9.00,hist,57,24.30
9.00,hist,58,26.13
9.00,hist,59,28.03
9.00,hist,60,30.00
9.00,hist,61,32.03
9.00,hist,62,34.13
9.00,hist,63,36.30
9.00,hist,64,38.53
9.00,hist,65,40.83
9.00,hist,66,43.20
9.00,hist,67,45.63
9.00,hist,68,45.63
9.00,hist,69,45.63
9.00,hist,70,45.63
9.00,hist,71,45.63
9.00,hist,72,45.63
9.00,hist,73,45.63
9.00,hist,74,45.63
9.00,hist,75,45.63
9.00,hist,76,45.63
9.00,hist,77,45.63
9.00,hist,78,45.63
9.00,hist,79,45.63
9.00,hist,80,45.63
9.00,hist,81,45.63
9.00,hist,82,45.63
9.00,hist,83,45.63
9.00,hist,84,45.63
9.00,hist,85,45.63
9.00,hist,86,45.63
9.00,hist,87,45.63
9.00,hist,88,45.63
9.00,hist,89,67.98
9.00,hist,90,66.75
9.00,hist,91,65.56
9.00,hist,92,64.41
9.00,hist,93,63.29
9.00,hist,94,62.20
9.00,hist,95,61.15
9.00,hist,96,60.13
9.00,hist,97,59.15
9.00,hist,98,58.20
9.00,hist,99,57.29
9.00,hist,100,56.41
9.00,hist,1787,5776.94
9.50,hist,1,0.00
9.50,hist,2,0.00
9.50,hist,3,0.00
9.50,hist,4,0.00
9.50,hist,5,0.00
9.50,hist,6,0.00
9.50,hist,7,0.00
9.50,hist,8,0.00
9.50,hist,9,0.00
9.50,hist,10,0.00
9.50,hist,11,0.00
9.50,hist,12,0.00
9.50,hist,13,0.00
9.50,hist,14,0.00
9.50,hist,15,0.00
9.50,hist,16,0.00
