frame_number,rmsd
590,1.503985e+00
591,1.502114e+00
592,1.505690e+00
593,1.468049e+00
594,1.526382e+00
595,1.577109e+00
596,1.603449e+00
597,1.567040e+00
598,1.507216e+00
599,1.488974e+00
600,1.544224e+00
601,1.531851e+00
602,1.383300e+00
603,1.337126e+00
604,1.459338e+00
605,1.344933e+00
606,1.407296e+00
607,1.348917e+00
608,1.426447e+00
609,1.320100e+00
610,1.344770e+00
611,1.292053e+00
612,1.246757e+00
613,1.359114e+00
614,1.363422e+00
615,1.309862e+00
616,1.278944e+00
617,1.228503e+00
618,1.325963e+00
619,1.305964e+00
620,1.253428e+00
621,1.359482e+00
622,1.279064e+00
623,1.270558e+00
624,1.311686e+00
625,1.431269e+00
626,1.433158e+00
627,1.461618e+00
628,1.425168e+00
629,1.396813e+00
630,1.430433e+00
631,1.421461e+00
632,1.333327e+00
633,1.344260e+00
634,1.326492e+00
635,1.304407e+00
636,1.293821e+00
637,1.254160e+00
638,1.310848e+00
639,1.310134e+00
640,1.348111e+00
641,1.399163e+00
642,1.389386e+00
643,1.350559e+00
644,1.403036e+00
645,1.381545e+00
646,1.405120e+00
647,1.356652e+00
648,1.392844e+00
649,1.438930e+00
650,1.491745e+00
651,1.446949e+00
652,1.486112e+00
653,1.422579e+00
654,1.449089e+00
655,1.409208e+00
656,1.498834e+00
657,1.451532e+00
658,1.491069e+00
659,1.548958e+00
660,1.580818e+00
661,1.556094e+00
662,1.481803e+00
663,1.524052e+00
664,1.510093e+00
665,1.567774e+00
666,1.577875e+00
667,1.563190e+00
668,1.564020e+00
669,1.506384e+00
670,1.510701e+00
671,1.460373e+00
672,1.471000e+00
673,1.568071e+00
674,1.484297e+00
675,1.522429e+00
676,1.526858e+00
677,1.371160e+00
678,1.449491e+00
679,1.368830e+00
680,1.485709e+00
681,1.517967e+00
682,1.474435e+00
683,1.551552e+00
684,1.504689e+00
685,1.602789e+00
686,1.499026e+00
687,1.549361e+00
688,1.582593e+00
689,1.682215e+00
690,1.695756e+00
691,1.757426e+00
692,1.686688e+00
693,1.680228e+00
694,1.658195e+00
695,1.701786e+00
696,1.678673e+00
697,1.685705e+00
698,1.667200e+00
699,1.714526e+00
700,1.618283e+00
701,1.520313e+00
702,1.621413e+00
703,1.651544e+00
704,1.535446e+00
705,1.604769e+00
706,1.615137e+00
707,1.579941e+00
708,1.602300e+00
709,1.593430e+00
710,1.478992e+00
711,1.540473e+00
712,1.554386e+00
713,1.544974e+00
714,1.573224e+00
715,1.550208e+00
716,1.458485e+00
717,1.510778e+00
718,1.595751e+00
719,1.494518e+00
720,1.549236e+00
721,1.550388e+00
722,1.531850e+00
723,1.512188e+00
724,1.486862e+00
725,1.482948e+00
726,1.415718e+00
727,1.424480e+00
728,1.432220e+00
729,1.429213e+00
730,1.521874e+00
731,1.471179e+00
732,1.455197e+00
733,1.497862e+00
734,1.465374e+00
735,1.433427e+00
736,1.495479e+00
737,1.442715e+00
738,1.472281e+00
739,1.468565e+00
740,1.466815e+00
741,1.395126e+00
742,1.403460e+00
743,1.540877e+00
744,1.529891e+00
745,1.440073e+00
746,1.460267e+00
747,1.446967e+00
748,1.436055e+00
749,1.418943e+00
750,1.370876e+00
751,1.440914e+00
752,1.440992e+00
753,1.512669e+00
754,1.450598e+00
755,1.478081e+00
756,1.502990e+00
757,1.410351e+00
758,1.394393e+00
759,1.433614e+00
760,1.381882e+00
761,1.438541e+00
762,1.379709e+00
763,1.535032e+00
764,1.629202e+00
765,1.473995e+00
766,1.468018e+00
767,1.432895e+00
768,1.564861e+00
769,1.499526e+00
770,1.447883e+00
771,1.448002e+00
772,1.543450e+00
773,1.496587e+00
774,1.508748e+00
775,1.590917e+00
776,1.613279e+00
777,1.581983e+00
778,1.680452e+00
779,1.635033e+00
780,1.559033e+00
781,1.530772e+00
782,1.602368e+00
783,1.565577e+00
784,1.660695e+00
785,1.669297e+00
786,1.598582e+00
787,1.588483e+00
788,1.634073e+00
789,1.586771e+00
790,1.578978e+00
791,1.450453e+00
792,1.494431e+00
793,1.466739e+00
794,1.608597e+00
795,1.630000e+00
796,1.722676e+00
797,1.800164e+00
798,1.664832e+00
799,1.593539e+00
800,1.566442e+00
801,1.496475e+00
802,1.441824e+00
803,1.556473e+00
804,1.552834e+00
805,1.560769e+00
806,1.603128e+00
807,1.611036e+00
808,1.604346e+00
809,1.631841e+00
810,1.668390e+00
811,1.734204e+00
812,1.661099e+00
813,1.647384e+00
814,1.668478e+00
815,1.645823e+00
816,1.564765e+00
817,1.623232e+00
818,1.680170e+00
819,1.707777e+00
820,1.736657e+00
821,1.672341e+00
822,1.656208e+00
823,1.760120e+00
824,1.646407e+00
825,1.605043e+00
826,1.683285e+00
827,1.656867e+00
828,1.687441e+00
829,1.622348e+00
830,1.640738e+00
831,1.633994e+00
832,1.731104e+00
833,1.813085e+00
834,1.735735e+00
835,1.778092e+00
836,1.675076e+00
837,1.690368e+00
838,1.620636e+00
839,1.574206e+00
840,1.549001e+00
841,1.534661e+00
842,1.522653e+00
843,1.599004e+00
844,1.558476e+00
845,1.643509e+00
846,1.629085e+00
847,1.600672e+00
848,1.593533e+00
849,1.692388e+00
850,1.613498e+00
851,1.689131e+00
852,1.733194e+00
853,1.633153e+00
854,1.634484e+00
855,1.668832e+00
856,1.656320e+00
857,1.638544e+00
858,1.670188e+00
859,1.571321e+00
860,1.532893e+00
861,1.519896e+00
862,1.552316e+00
863,1.631168e+00
864,1.567563e+00
865,1.539761e+00
866,1.604270e+00
867,1.647320e+00
868,1.633633e+00
869,1.653513e+00
870,1.640502e+00
871,1.675198e+00
872,1.727695e+00
873,1.746599e+00
874,1.704516e+00
875,1.569414e+00
876,1.541047e+00
877,1.501421e+00
878,1.585262e+00
879,1.620538e+00
880,1.625268e+00
881,1.566220e+00
882,1.519153e+00
883,1.593375e+00
884,1.729088e+00
885,1.702260e+00
886,1.660485e+00
887,1.693332e+00
888,1.632916e+00
889,1.624134e+00
890,1.611934e+00
891,1.564784e+00
892,1.589111e+00
893,1.429575e+00
894,1.544689e+00
895,1.596419e+00
896,1.561515e+00
897,1.601238e+00
898,1.675803e+00
899,1.681255e+00
900,1.641405e+00
901,1.684599e+00
902,1.723816e+00
903,1.753099e+00
904,1.708266e+00
905,1.729757e+00
906,1.696657e+00
907,1.770085e+00
908,1.763955e+00
909,1.638745e+00
910,1.621801e+00
911,1.593796e+00
912,1.586221e+00
913,1.500728e+00
914,1.450038e+00
915,1.460896e+00
916,1.526424e+00
917,1.517233e+00
918,1.518355e+00
919,1.641038e+00
920,1.586262e+00
921,1.643569e+00
922,1.517667e+00
923,1.521045e+00
924,1.531967e+00
925,1.594790e+00
926,1.525855e+00
927,1.533837e+00
928,1.558525e+00
929,1.525179e+00
930,1.414707e+00
931,1.456856e+00
932,1.425009e+00
933,1.441552e+00
934,1.484783e+00
935,1.502299e+00
936,1.548084e+00
937,1.476107e+00
938,1.402982e+00
939,1.441208e+00
940,1.350299e+00
941,1.422515e+00
942,1.454039e+00
943,1.492215e+00
944,1.541602e+00
945,1.498331e+00
946,1.576607e+00
947,1.614810e+00
948,1.570643e+00
949,1.459510e+00
950,1.443549e+00
951,1.414773e+00
952,1.360869e+00
953,1.356322e+00
954,1.441872e+00
955,1.431077e+00
956,1.390534e+00
957,1.373135e+00
958,1.440505e+00
959,1.505282e+00
960,1.539478e+00
961,1.515303e+00
962,1.552726e+00
963,1.516023e+00
964,1.471675e+00
965,1.473437e+00
966,1.593578e+00
967,1.605487e+00
968,1.571704e+00
969,1.532481e+00
970,1.555493e+00
971,1.561651e+00
972,1.541777e+00
973,1.539910e+00
974,1.518334e+00
975,1.442613e+00
976,1.340293e+00
977,1.376820e+00
978,1.471095e+00
979,1.525798e+00
980,1.492880e+00
981,1.499996e+00
982,1.459113e+00
983,1.449920e+00
984,1.457666e+00
985,1.355761e+00
986,1.426851e+00
987,1.413735e+00
988,1.299446e+00
989,1.267655e+00
990,1.326027e+00
991,1.245823e+00
992,1.276606e+00
993,1.283653e+00
994,1.329912e+00
995,1.322993e+00
996,1.321993e+00
997,1.352993e+00
998,1.308788e+00
999,1.342159e+00
1000,1.406455e+00
1001,1.360023e+00
1002,1.317963e+00
1003,1.263860e+00
1004,1.286218e+00
1005,1.388100e+00
1006,1.426030e+00
1007,1.478693e+00
1008,1.479244e+00
1009,1.415038e+00
1010,1.415805e+00
1011,1.558174e+00
1012,1.461679e+00
1013,1.582069e+00
1014,1.522954e+00
1015,1.567002e+00
1016,1.503543e+00
1017,1.506175e+00
1018,1.482366e+00
1019,1.447212e+00
1020,1.360293e+00
1021,1.268396e+00
1022,1.331279e+00
1023,1.355400e+00
1024,1.397224e+00
1025,1.372025e+00
1026,1.446163e+00
1027,1.583695e+00
1028,1.586923e+00
1029,1.526036e+00
1030,1.561557e+00
1031,1.593079e+00
1032,1.545244e+00
1033,1.573179e+00
1034,1.566758e+00
1035,1.579242e+00
1036,1.491434e+00
1037,1.471217e+00
1038,1.620722e+00
1039,1.629460e+00
1040,1.631637e+00
1041,1.657248e+00
1042,1.706830e+00
1043,1.691446e+00
1044,1.800429e+00
1045,1.647322e+00
1046,1.647880e+00
1047,1.509551e+00
1048,1.486812e+00
1049,1.405185e+00
1050,1.558915e+00
1051,1.523341e+00
1052,1.562548e+00
1053,1.509415e+00
1054,1.536727e+00
1055,1.601513e+00
1056,1.604009e+00
1057,1.571204e+00
1058,1.506231e+00
1059,1.589892e+00
1060,1.633265e+00
1061,1.685794e+00
1062,1.664108e+00
1063,1.631206e+00
1064,1.632497e+00
1065,1.658494e+00
1066,1.685603e+00
1067,1.607623e+00
1068,1.532204e+00
1069,1.500970e+00
1070,1.503441e+00
1071,1.432884e+00
1072,1.375110e+00
1073,1.431695e+00
1074,1.509976e+00
1075,1.458050e+00
1076,1.456692e+00
1077,1.428187e+00
1078,1.538464e+00
1079,1.586703e+00
1080,1.513138e+00
1081,1.500437e+00
1082,1.514338e+00
1083,1.586077e+00
1084,1.560495e+00
1085,1.466870e+00
1086,1.505464e+00
1087,1.522381e+00
1088,1.475750e+00
1089,1.327757e+00
1090,1.416480e+00
1091,1.487790e+00
1092,1.455077e+00
1093,1.496227e+00
1094,1.488486e+00
1095,1.415325e+00
1096,1.355583e+00
1097,1.352570e+00
1098,1.478788e+00
1099,1.457919e+00
1100,1.431656e+00
1101,1.468418e+00
1102,1.553339e+00
1103,1.404138e+00
1104,1.439666e+00
1105,1.459660e+00
1106,1.430413e+00
1107,1.497079e+00
1108,1.480441e+00
1109,1.442325e+00
1110,1.414072e+00
1111,1.470800e+00
1112,1.458069e+00
1113,1.484490e+00
1114,1.484685e+00
1115,1.474347e+00
1116,1.452533e+00
1117,1.424420e+00
1118,1.453476e+00
1119,1.467040e+00
1120,1.416159e+00
1121,1.404092e+00
1122,1.475858e+00
1123,1.408195e+00
1124,1.509961e+00
1125,1.482629e+00
1126,1.436410e+00
1127,1.406817e+00
1128,1.389846e+00
1129,1.454791e+00
1130,1.426388e+00
1131,1.436058e+00
1132,1.461405e+00
1133,1.455169e+00
1134,1.501004e+00
1135,1.501869e+00
1136,1.542198e+00
1137,1.588318e+00
1138,1.495809e+00
1139,1.493221e+00
1140,1.469310e+00
1141,1.490055e+00
1142,1.445751e+00
1143,1.455740e+00
1144,1.428391e+00
1145,1.503122e+00
1146,1.535203e+00
1147,1.504897e+00
1148,1.483348e+00
1149,1.469758e+00
1150,1.487742e+00
1151,1.508587e+00
1152,1.514940e+00
1153,1.445067e+00
1154,1.460684e+00
1155,1.422949e+00
1156,1.517586e+00
1157,1.552422e+00
1158,1.478364e+00
