form_idx,mode,eigval
0,353,117.77
0,354,117.95
0,355,118.11
0,356,118.83
0,357,118.95
0,358,119.29
0,359,119.43
0,360,120.09
0,361,120.15
0,362,120.59
0,363,121.25
0,364,121.40
0,365,121.51
0,366,121.59
0,367,122.03
0,368,122.38
0,369,122.75
0,370,122.91
0,371,123.39
0,372,123.76
0,373,123.92
0,374,124.23
0,375,124.38
0,376,124.54
0,377,124.86
0,378,125.39
0,379,125.58
0,380,125.97
0,381,126.60
0,382,126.66
0,383,126.94
0,384,127.43
0,385,128.01
0,386,128.24
0,387,128.47
0,388,128.72
0,389,129.23
0,390,129.53
0,391,129.81
0,392,130.02
0,393,130.43
0,394,130.58
0,395,130.73
0,396,131.00
0,397,131.14
0,398,131.33
0,399,131.87
0,400,131.99
0,401,132.41
0,402,132.49
0,403,133.04
0,404,133.64
0,405,134.04
0,406,134.24
0,407,134.46
0,408,134.81
0,409,135.38
0,410,135.43
0,411,135.77
0,412,136.17
0,413,136.34
0,414,136.55
0,415,136.75
0,416,136.96
0,417,137.63
0,418,137.66
0,419,138.21
0,420,138.55
0,421,138.84
0,422,139.06
0,423,139.84
0,424,140.19
0,425,140.45
0,426,140.56
0,427,140.74
0,428,140.75
0,429,141.12
0,430,141.57
0,431,142.01
0,432,142.39
0,433,142.73
0,434,143.06
0,435,143.43
0,436,143.69
0,437,144.11
0,438,144.60
0,439,144.62
0,440,145.06
0,441,145.27
0,442,145.36
0,443,145.98
0,444,146.52
0,445,146.66
0,446,146.73
0,447,147.21
0,448,147.41
0,449,148.01
0,450,148.44
0,451,148.71
0,452,149.20
0,453,149.32
0,454,149.72
0,455,149.94
0,456,150.17
0,457,150.59
0,458,150.75
0,459,150.95
0,460,151.42
0,461,151.62
0,462,152.42
0,463,152.75
0,464,152.97
0,465,153.12
0,466,153.70
0,467,154.13
0,468,154.56
0,469,154.72
0,470,154.92
0,471,155.45
0,472,155.76
0,473,155.82
0,474,156.49
0,475,156.86
0,476,157.05
0,477,157.46
0,478,157.90
0,479,158.35
0,480,158.82
0,481,159.09
0,482,159.32
0,483,159.74
0,484,159.90
0,485,160.36
0,486,160.89
0,487,161.19
0,488,161.31
0,489,161.46
0,490,162.10
0,491,162.69
0,492,162.82
0,493,163.37
0,494,163.79
0,495,164.00
0,496,164.31
0,497,164.80
0,498,164.88
0,499,165.08
0,500,165.91
0,501,166.07
0,502,166.63
0,503,167.09
0,504,167.42
0,505,167.55
0,506,168.39
0,507,168.63
0,508,169.11
0,509,169.44
0,510,170.11
0,511,170.41
0,512,170.60
0,513,171.04
0,514,171.73
0,515,171.85
0,516,172.01
0,517,172.15
0,518,172.47
0,519,173.32
0,520,173.59
0,521,174.07
0,522,174.32
0,523,175.07
0,524,175.56
0,525,175.66
0,526,176.25
0,527,176.61
0,528,177.25
0,529,177.80
0,530,178.10
0,531,178.33
0,532,178.64
0,533,179.64
0,534,179.82
0,535,180.33
0,536,180.37
0,537,181.01
0,538,181.19
0,539,181.55
0,540,181.84
0,541,182.00
0,542,182.35
0,543,182.89
0,544,183.31
0,545,183.72
0,546,183.87
0,547,184.29
0,548,184.63
0,549,185.08
0,550,185.34
0,551,185.65
0,552,186.48
0,553,186.95
0,554,187.43
0,555,187.68
0,556,188.30
0,557,188.54
0,558,188.78
0,559,189.03
0,560,189.46
0,561,189.85
0,562,190.35
0,563,190.72
0,564,191.24
0,565,191.81
0,566,191.83
0,567,192.21
0,568,192.36
0,569,193.20
0,570,193.46
0,571,193.94
0,572,194.27
0,573,194.48
0,574,194.85
0,575,195.51
0,576,196.04
0,577,196.22
0,578,196.55
0,579,197.18
0,580,197.33
0,581,197.51
0,582,198.03
0,583,198.39
0,584,198.49
0,585,199.51
0,586,199.76
0,587,200.43
0,588,200.48
0,589,201.16
0,590,201.87
0,591,202.12
0,592,202.39
0,593,202.70
0,594,203.07
0,595,203.43
0,596,203.65
0,597,204.05
0,598,204.60
0,599,204.72
0,600,205.48
0,601,205.65
0,602,206.35
0,603,206.93
0,604,207.34
0,605,207.72
0,606,208.04
0,607,208.18
0,608,208.30
0,609,208.61
0,610,209.09
0,611,209.59
0,612,210.51
0,613,210.96
0,614,211.23
0,615,211.78
0,616,212.01
0,617,212.51
0,618,213.27
0,619,213.73
0,620,213.83
0,621,214.23
0,622,214.48
0,623,214.76
0,624,215.38
0,625,216.04
0,626,216.34
0,627,217.21
0,628,217.33
0,629,217.80
0,630,218.27
0,631,218.57
0,632,218.77
0,633,219.42
0,634,219.86
0,635,220.24
0,636,220.53
0,637,221.12
0,638,221.54
0,639,221.87
0,640,222.27
0,641,222.48
0,642,223.03
0,643,223.46
0,644,223.89
0,645,224.21
0,646,224.72
0,647,225.62
0,648,225.69
0,649,226.33
0,650,226.59
0,651,226.91
0,652,227.47
0,653,228.13
0,654,228.31
0,655,229.04
0,656,229.33
0,657,229.51
0,658,229.96
0,659,230.38
0,660,230.84
0,661,231.17
0,662,231.30
0,663,231.87
0,664,232.37
0,665,232.69
0,666,233.04
0,667,233.40
0,668,233.97
0,669,234.54
0,670,234.91
0,671,235.33
0,672,235.86
0,673,236.38
0,674,237.04
0,675,237.31
0,676,237.53
0,677,237.91
0,678,238.27
0,679,238.92
0,680,239.23
0,681,239.59
0,682,240.16
0,683,240.87
0,684,241.10
0,685,241.77
0,686,242.37
0,687,242.62
0,688,242.90
0,689,243.27
0,690,243.60
0,691,245.17
0,692,245.27
0,693,245.76
0,694,246.05
0,695,246.96
0,696,247.52
0,697,247.91
0,698,248.42
0,699,248.72
0,700,249.20
0,701,249.46
0,702,249.75
0,703,250.22
0,704,250.95
0,705,251.14
0,706,251.82
0,707,252.42
0,708,252.62
0,709,253.38
0,710,254.02
0,711,254.53
0,712,255.45
0,713,255.91
0,714,256.08
0,715,256.62
0,716,256.73
0,717,257.72
0,718,258.12
0,719,258.33
0,720,258.98
0,721,259.32
0,722,259.76
0,723,260.11
0,724,261.28
0,725,262.09
0,726,262.43
0,727,262.63
0,728,263.08
0,729,263.69
0,730,264.11
0,731,264.42
0,732,265.57
0,733,265.77
0,734,266.51
0,735,267.16
0,736,267.89
0,737,268.07
0,738,268.57
0,739,269.26
0,740,269.48
0,741,269.93
0,742,270.40
0,743,271.01
0,744,271.38
0,745,272.21
0,746,272.92
0,747,273.37
0,748,274.39
0,749,274.56
0,750,275.19
0,751,275.73
0,752,276.84
0,753,277.30
0,754,277.79
0,755,278.00
0,756,278.41
0,757,279.32
0,758,280.29
0,759,280.53
0,760,281.36
0,761,281.90
0,762,283.42
0,763,283.80
0,764,284.17
0,765,284.28
0,766,285.38
0,767,285.86
0,768,286.13
0,769,287.18
0,770,287.97
0,771,288.47
0,772,288.70
0,773,289.18
0,774,289.86
0,775,290.96
0,776,291.14
0,777,291.61
0,778,292.52
0,779,292.74
0,780,293.43
0,781,294.21
0,782,295.21
0,783,295.50
0,784,295.93
0,785,296.19
0,786,297.06
0,787,297.74
0,788,298.56
0,789,299.35
0,790,299.58
0,791,300.34
0,792,301.30
0,793,301.78
0,794,302.47
0,795,303.18
0,796,303.31
0,797,304.37
0,798,305.41
0,799,306.06
0,800,307.06
0,801,307.39
0,802,308.58
0,803,308.93
0,804,310.24
0,805,310.32
0,806,311.55
0,807,312.12
0,808,314.18
0,809,315.20
0,810,315.83
0,811,316.21
0,812,318.05
0,813,318.22
0,814,319.12
0,815,319.67
0,816,321.56
0,817,322.53
0,818,323.08
0,819,323.11
0,820,324.23
0,821,324.40
0,822,325.89
0,823,327.30
0,824,327.70
0,825,328.63
0,826,330.00
0,827,330.43
0,828,331.77
0,829,332.58
0,830,333.61
0,831,334.97
0,832,336.07
0,833,337.67
0,834,337.99
0,835,339.40
0,836,340.07
0,837,341.39
0,838,342.75
0,839,343.55
0,840,345.59
0,841,346.02
0,842,347.55
0,843,348.66
0,844,350.29
0,845,351.33
0,846,352.98
0,847,355.50
0,848,356.57
0,849,357.81
0,850,361.31
0,851,363.27
0,852,363.96
0,853,367.23
0,854,367.97
0,855,369.18
0,856,371.38
0,857,374.36
0,858,380.92
0,859,383.65
0,860,385.58
0,861,387.90
0,862,389.55
0,863,394.80
0,864,398.34
0,865,399.38
0,866,401.59
0,867,405.34
0,868,409.56
0,869,414.23
0,870,416.93
0,871,418.24
0,872,421.22
0,873,424.35
0,874,425.24
0,875,426.26
0,876,431.52
0,877,433.38
0,878,436.42
0,879,439.62
0,880,441.96
0,881,443.21
