variable,sort_type,modes,chi2
9.00,hist,76,21.25
9.00,hist,77,21.61
9.00,hist,78,22.03
9.00,hist,79,22.50
9.00,hist,80,23.03
9.00,hist,81,23.61
9.00,hist,82,24.25
9.00,hist,83,24.94
9.00,hist,84,25.69
9.00,hist,85,26.50
9.00,hist,86,27.36
9.00,hist,87,28.28
9.00,hist,88,29.25
9.00,hist,89,30.28
9.00,hist,90,31.36
9.00,hist,91,32.50
9.00,hist,92,33.69
9.00,hist,93,34.94
9.00,hist,94,36.25
9.00,hist,95,37.61
9.00,hist,96,39.03
9.00,hist,97,40.50
9.00,hist,98,42.03
9.00,hist,99,43.61
9.00,hist,100,45.25
9.00,hist,1253,2680.20
9.50,hist,1,0.00
9.50,hist,2,0.00
9.50,hist,3,0.00
9.50,hist,4,0.00
9.50,hist,5,0.00
9.50,hist,6,0.00
9.50,hist,7,0.00
9.50,hist,8,0.00
9.50,hist,9,0.00
9.50,hist,10,0.00
9.50,hist,11,0.00
9.50,hist,12,0.00
9.50,hist,13,0.00
9.50,hist,14,0.00
9.50,hist,15,0.00
9.50,hist,16,0.00
9.50,hist,17,0.06
9.50,hist,18,0.25
9.50,hist,19,0.56
9.50,hist,20,1.00
9.50,hist,21,1.56
9.50,hist,22,2.25
9.50,hist,23,3.06
9.50,hist,24,4.00
9.50,hist,25,5.06
9.50,hist,26,6.25
9.50,hist,27,7.56
9.50,hist,28,9.00
9.50,hist,29,10.56
9.50,hist,30,12.25
9.50,hist,31,14.06
9.50,hist,32,16.00
9.50,hist,33,18.06
9.50,hist,34,20.25
9.50,hist,35,22.56
9.50,hist,36,25.00
9.50,hist,37,27.56
9.50,hist,38,30.25
9.50,hist,39,33.06
9.50,hist,40,36.00
9.50,hist,41,36.00
9.50,hist,42,36.00
9.50,hist,43,36.00
9.50,hist,44,36.00
9.50,hist,45,36.00
9.50,hist,46,36.00
9.50,hist,47,36.00
9.50,hist,48,36.00
9.50,hist,49,36.00
9.50,hist,50,36.00
9.50,hist,51,36.00
9.50,hist,52,36.00
9.50,hist,53,50.69
9.50,hist,54,49.44
9.50,hist,55,48.25
9.50,hist,56,47.11
9.50,hist,57,46.03
9.50,hist,58,45.00
9.50,hist,59,44.03
9.50,hist,60,43.11
9.50,hist,61,42.25
9.50,hist,62,41.44
9.50,hist,63,40.69
9.50,hist,64,40.00
9.50,hist,65,39.36
9.50,hist,66,38.78
9.50,hist,67,38.25
9.50,hist,68,37.78
9.50,hist,69,37.36
9.50,hist,70,37.00
9.50,hist,71,36.69
9.50,hist,72,36.44
9.50,hist,73,36.25
9.50,hist,74,36.11
9.50,hist,75,36.03
9.50,hist,76,36.00
9.50,hist,77,36.03
9.50,hist,78,36.11
9.50,hist,79,36.25
9.50,hist,80,36.44
9.50,hist,81,36.69
9.50,hist,82,37.00
9.50,hist,83,37.36
9.50,hist,84,37.78
9.50,hist,85,38.25
9.50,hist,86,38.78
9.50,hist,87,39.36
9.50,hist,88,40.00
9.50,hist,89,40.69
9.50,hist,90,41.44
9.50,hist,91,42.25
9.50,hist,92,43.11
9.50,hist,93,44.03
9.50,hist,94,45.00
9.50,hist,95,46.03
9.50,hist,96,47.11
9.50,hist,97,48.25
9.50,hist,98,49.44
9.50,hist,99,50.69
9.50,hist,100,52.00
9.50,hist,1253,4006.10
10.00,hist,1,0.00
10.00,hist,2,0.00
10.00,hist,3,0.00
10.00,hist,4,0.00
10.00,hist,5,0.00
10.00,hist,6,0.00
10.00,hist,7,0.00
10.00,hist,8,0.00
10.00,hist,9,0.00
10.00,hist,10,0.00
10.00,hist,11,0.00
10.00,hist,12,0.00
10.00,hist,13,0.00
10.00,hist,14,0.00
10.00,hist,15,0.00
10.00,hist,16,0.00
10.00,hist,17,0.06
10.00,hist,18,0.25
10.00,hist,19,0.56
10.00,hist,20,1.00
10.00,hist,21,1.56
10.00,hist,22,2.25
10.00,hist,23,3.06
10.00,hist,24,4.00
10.00,hist,25,5.06
10.00,hist,26,6.25
10.00,hist,27,7.56
10.00,hist,28,9.00
10.00,hist,29,10.56
10.00,hist,30,12.25
10.00,hist,31,14.06
10.00,hist,32,16.00
10.00,hist,33,18.06
10.00,hist,34,20.25
10.00,hist,35,22.56
10.00,hist,36,25.00
10.00,hist,37,27.56
10.00,hist,38,30.25
10.00,hist,39,33.06
10.00,hist,40,36.00
10.00,hist,41,39.06
10.00,hist,42,39.06
10.00,hist,43,39.06
10.00,hist,44,39.06
10.00,hist,45,39.06
10.00,hist,46,39.06
10.00,hist,47,39.06
10.00,hist,48,39.06
10.00,hist,49,39.06
10.00,hist,50,39.06
10.00,hist,51,39.06
10.00,hist,52,39.06
10.00,hist,53,55.06
10.00,hist,54,53.76
10.00,hist,55,52.51
10.00,hist,56,51.31
10.00,hist,57,50.17
10.00,hist,58,49.09
10.00,hist,59,48.06
10.00,hist,60,47.09
10.00,hist,61,46.17
10.00,hist,62,45.31
10.00,hist,63,44.51
10.00,hist,64,43.76
10.00,hist,65,43.06
10.00,hist,66,42.42
10.00,hist,67,41.84
10.00,hist,68,41.31
10.00,hist,69,40.84
10.00,hist,70,40.42
10.00,hist,71,40.06
10.00,hist,72,39.76
10.00,hist,73,39.51
10.00,hist,74,39.31
10.00,hist,75,39.17
10.00,hist,76,39.09
10.00,hist,77,39.06
10.00,hist,78,39.09
10.00,hist,79,39.17
