variable,sort_type,modes,chi2
300.00,hist,12,0.00
300.00,hist,13,0.00
300.00,hist,14,0.00
300.00,hist,15,0.00
300.00,hist,16,0.00
300.00,hist,17,0.06
300.00,hist,18,0.25
300.00,hist,19,0.56
300.00,hist,20,1.00
300.00,hist,21,1.56
300.00,hist,22,2.25
300.00,hist,23,3.06
300.00,hist,24,4.00
300.00,hist,25,5.06
300.00,hist,26,6.25
300.00,hist,27,7.56
300.00,hist,28,9.00
300.00,hist,29,10.56
300.00,hist,30,10.56
300.00,hist,31,10.56
300.00,hist,32,10.56
300.00,hist,33,10.56
300.00,hist,34,10.56
300.00,hist,35,10.56
300.00,hist,36,10.56
300.00,hist,37,10.56
300.00,hist,38,10.56
300.00,hist,39,10.56
300.00,hist,40,10.56
300.00,hist,41,10.56
300.00,hist,42,10.56
300.00,hist,43,10.56
300.00,hist,44,10.56
300.00,hist,45,10.56
300.00,hist,46,10.56
300.00,hist,47,10.56
300.00,hist,48,10.56
300.00,hist,49,10.56
300.00,hist,50,10.56
300.00,hist,51,10.56
300.00,hist,52,10.56
300.00,hist,53,14.56
300.00,hist,54,13.92
300.00,hist,55,13.34
300.00,hist,56,12.81
300.00,hist,57,12.34
300.00,hist,58,11.92
300.00,hist,59,11.56
