variable,sort_type,modes,chi2
11.00,hist,27,0.00
11.00,hist,28,0.00
11.00,hist,29,0.00
11.00,hist,30,0.00
11.00,hist,31,0.00
11.00,hist,32,0.00
11.00,hist,33,0.00
11.00,hist,34,0.00
11.00,hist,35,0.00
11.00,hist,36,0.00
11.00,hist,37,0.00
11.00,hist,38,0.00
11.00,hist,39,0.00
11.00,hist,40,0.00
11.00,hist,41,0.00
11.00,hist,42,0.00
11.00,hist,43,0.02
11.00,hist,44,0.10
11.00,hist,45,0.21
11.00,hist,46,0.38
11.00,hist,47,0.60
11.00,hist,48,0.86
11.00,hist,49,1.17
11.00,hist,50,1.52
11.00,hist,51,1.93
11.00,hist,52,2.38
11.00,hist,53,2.88
11.00,hist,54,3.43
11.00,hist,55,4.02
11.00,hist,56,4.67
11.00,hist,57,5.36
11.00,hist,58,6.10
11.00,hist,59,6.88
11.00,hist,60,7.71
11.00,hist,61,8.60
11.00,hist,62,9.52
11.00,hist,63,10.50
11.00,hist,64,11.52
11.00,hist,65,12.60
11.00,hist,66,13.71
11.00,hist,67,14.88
11.00,hist,68,16.10
11.00,hist,69,17.36
11.00,hist,70,18.67
11.00,hist,71,20.02
11.00,hist,72,21.43
11.00,hist,73,22.88
11.00,hist,74,24.38
11.00,hist,75,25.93
11.00,hist,76,27.52
11.00,hist,77,27.52
11.00,hist,78,27.52
11.00,hist,79,27.52
11.00,hist,80,27.52
11.00,hist,81,27.52
11.00,hist,82,27.52
11.00,hist,83,27.52
11.00,hist,84,27.52
11.00,hist,85,27.52
11.00,hist,86,27.52
11.00,hist,87,27.52
11.00,hist,88,27.52
11.00,hist,89,27.52
11.00,hist,90,27.52
11.00,hist,91,27.52
11.00,hist,92,27.52
11.00,hist,93,27.52
11.00,hist,94,27.52
11.00,hist,95,27.52
11.00,hist,96,27.52
11.00,hist,97,27.52
11.00,hist,98,27.52
11.00,hist,99,27.52
11.00,hist,100,27.52
11.00,hist,1176,4653.34
11.50,hist,1,0.00
11.50,hist,2,0.00
11.50,hist,3,0.00
11.50,hist,4,0.00
11.50,hist,5,0.00
11.50,hist,6,0.00
11.50,hist,7,0.00
11.50,hist,8,0.00
11.50,hist,9,0.00
11.50,hist,10,0.00
11.50,hist,11,0.00
11.50,hist,12,0.00
11.50,hist,13,0.00
11.50,hist,14,0.00
11.50,hist,15,0.00
11.50,hist,16,0.00
11.50,hist,17,0.00
11.50,hist,18,0.00
11.50,hist,19,0.00
11.50,hist,20,0.00
11.50,hist,21,0.00
11.50,hist,22,0.00
11.50,hist,23,0.00
11.50,hist,24,0.00
11.50,hist,25,0.00
11.50,hist,26,0.00
11.50,hist,27,0.00
11.50,hist,28,0.00
11.50,hist,29,0.00
11.50,hist,30,0.00
11.50,hist,31,0.00
11.50,hist,32,0.00
11.50,hist,33,0.00
11.50,hist,34,0.00
11.50,hist,35,0.00
11.50,hist,36,0.00
11.50,hist,37,0.00
11.50,hist,38,0.00
11.50,hist,39,0.00
11.50,hist,40,0.00
11.50,hist,41,0.00
11.50,hist,42,0.00
11.50,hist,43,0.02
11.50,hist,44,0.10
11.50,hist,45,0.21
11.50,hist,46,0.38
11.50,hist,47,0.60
11.50,hist,48,0.86
11.50,hist,49,1.17
11.50,hist,50,1.52
11.50,hist,51,1.93
11.50,hist,52,2.38
