mode,eigval
826,3.877336e+02
827,3.896178e+02
828,3.952157e+02
829,3.953665e+02
830,3.965740e+02
831,4.006659e+02
832,4.035222e+02
833,4.061464e+02
834,4.078019e+02
835,4.100837e+02
836,4.104196e+02
837,4.118045e+02
838,4.132102e+02
839,4.181103e+02
840,4.203175e+02
841,4.227491e+02
842,4.243271e+02
843,4.256529e+02
844,4.268162e+02
845,4.285570e+02
846,4.308945e+02
847,4.315338e+02
848,4.327764e+02
849,4.355932e+02
850,4.376685e+02
851,4.400912e+02
852,4.418563e+02
853,4.448705e+02
854,4.459401e+02
855,4.493431e+02
856,4.513375e+02
857,4.549556e+02
858,4.553848e+02
859,4.579893e+02
860,4.589247e+02
861,4.604282e+02
862,4.630043e+02
863,4.643646e+02
864,4.648684e+02
865,4.682446e+02
866,4.702428e+02
867,4.716811e+02
868,4.742168e+02
869,4.754659e+02
870,4.767100e+02
871,4.775271e+02
872,4.788569e+02
873,4.811817e+02
874,4.837486e+02
875,4.855100e+02
876,4.875265e+02
877,4.879938e+02
878,4.893844e+02
879,4.914124e+02
880,4.915448e+02
881,4.942876e+02
882,4.954445e+02
883,4.982253e+02
884,4.990621e+02
885,5.025190e+02
886,5.030627e+02
887,5.037714e+02
888,5.058043e+02
889,5.069816e+02
890,5.082872e+02
891,5.094925e+02
892,5.104381e+02
893,5.110834e+02
894,5.136925e+02
895,5.158070e+02
896,5.160355e+02
897,5.180491e+02
898,5.185012e+02
899,5.209349e+02
900,5.216445e+02
901,5.236310e+02
902,5.253249e+02
903,5.264536e+02
904,5.273669e+02
905,5.275095e+02
906,5.304695e+02
907,5.310215e+02
908,5.334370e+02
909,5.348155e+02
910,5.356361e+02
911,5.362402e+02
912,5.380899e+02
913,5.391555e+02
914,5.410267e+02
915,5.416044e+02
916,5.438015e+02
917,5.442135e+02
918,5.456995e+02
919,5.470598e+02
920,5.482619e+02
921,5.495456e+02
922,5.506806e+02
923,5.528469e+02
924,5.535745e+02
925,5.559308e+02
926,5.579681e+02
927,5.586611e+02
928,5.588553e+02
929,5.607972e+02
930,5.614261e+02
931,5.629135e+02
932,5.643751e+02
933,5.655603e+02
934,5.656303e+02
935,5.672482e+02
936,5.683199e+02
937,5.684760e+02
938,5.706135e+02
939,5.714350e+02
940,5.734446e+02
941,5.746949e+02
942,5.760901e+02
943,5.789854e+02
944,5.801823e+02
945,5.815316e+02
946,5.824611e+02
947,5.828445e+02
948,5.832553e+02
949,5.843894e+02
950,5.850416e+02
951,5.861510e+02
952,5.875417e+02
953,5.892577e+02
954,5.910859e+02
955,5.917986e+02
956,5.932195e+02
957,5.943030e+02
958,5.964785e+02
959,5.971919e+02
960,5.975273e+02
961,5.989674e+02
962,5.998355e+02
963,6.011980e+02
964,6.017013e+02
965,6.029492e+02
966,6.042978e+02
967,6.058296e+02
968,6.067674e+02
969,6.074417e+02
970,6.098391e+02
971,6.107197e+02
972,6.113800e+02
973,6.120009e+02
974,6.140830e+02
975,6.149635e+02
976,6.160615e+02
977,6.171308e+02
978,6.191677e+02
979,6.198038e+02
980,6.212256e+02
981,6.229478e+02
982,6.233592e+02
983,6.236171e+02
984,6.250899e+02
985,6.267228e+02
986,6.280342e+02
987,6.282090e+02
988,6.296569e+02
989,6.304391e+02
990,6.321796e+02
991,6.332475e+02
992,6.340169e+02
993,6.352531e+02
994,6.364216e+02
995,6.370016e+02
996,6.384064e+02
997,6.386735e+02
998,6.407996e+02
999,6.416620e+02
1000,6.435638e+02
1001,6.444806e+02
1002,6.455220e+02
1003,6.458963e+02
1004,6.471165e+02
1005,6.494269e+02
1006,6.495533e+02
1007,6.504747e+02
1008,6.511649e+02
1009,6.521904e+02
1010,6.530863e+02
1011,6.533834e+02
1012,6.558504e+02
1013,6.561968e+02
1014,6.582085e+02
1015,6.593554e+02
1016,6.593956e+02
1017,6.611197e+02
1018,6.621627e+02
1019,6.634081e+02
1020,6.644254e+02
1021,6.659307e+02
1022,6.673348e+02
1023,6.684694e+02
1024,6.702213e+02
1025,6.708560e+02
1026,6.714670e+02
1027,6.721009e+02
1028,6.736183e+02
1029,6.753017e+02
1030,6.759497e+02
1031,6.781357e+02
1032,6.793679e+02
1033,6.803883e+02
1034,6.811480e+02
1035,6.814394e+02
1036,6.846754e+02
1037,6.855795e+02
1038,6.866597e+02
1039,6.875868e+02
1040,6.891004e+02
1041,6.900603e+02
1042,6.908487e+02
1043,6.919316e+02
1044,6.930117e+02
1045,6.941852e+02
1046,6.948010e+02
1047,6.964692e+02
1048,6.980873e+02
1049,6.991885e+02
1050,7.014991e+02
1051,7.021996e+02
1052,7.049023e+02
1053,7.054964e+02
1054,7.067059e+02
1055,7.075670e+02
1056,7.086673e+02
1057,7.090399e+02
1058,7.102442e+02
1059,7.106113e+02
1060,7.130424e+02
1061,7.146958e+02
1062,7.157241e+02
1063,7.160123e+02
1064,7.181857e+02
1065,7.187348e+02
1066,7.201141e+02
1067,7.211145e+02
1068,7.213187e+02
